web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category
https://www.ibdb.com/broadway-production/native-son-1233,Native Son,Orson Welles,,Paul GreenandRichard Wright,The Brandts,"Oct 23, 1942","Oct 23, 1942","Jan 02, 1943",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/porgy-and-bess-1163,Porgy and Bess,Robert Ross,DuBose HeywardandIra Gershwin,,Cheryl Crawford,"Jan 22, 1942","Jan 22, 1942","Sep 26, 1942",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/hellzapoppin-12378,Hellzapoppin,,Sammy FainandCharles Tobias,Olsen & Johnson,Olsen & Johnson,"Sep 22, 1938","Sep 22, 1938","Dec 17, 1941",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/viva-obrien-1117,Viva O'Brien,Robert Milton,Raymond Leveen,William K. WellsandEleanor Wells,"John J. Hickey,Clark RobinsonandChester Hale","Oct 09, 1941","Oct 09, 1941","Oct 25, 1941",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-ballet-theatre-1078,The Ballet Theatre,,,,,,,,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/all-in-fun-1049,All in Fun,,June SillmanandJohn Rox,,Leonard Sillman,"Dec 27, 1940","Dec 27, 1940","Dec 28, 1940",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/margin-for-error-13132,Margin for Error,Otto Preminger,,Clare Boothe,Richard AldrichandRichard Myers,"Nov 03, 1939","Nov 03, 1939","Jun 15, 1940",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/yokel-boy-12884,Yokel Boy,Lew Brown,"Lew Brown,Charles TobiasandSam H. Stept",Lew Brown,Lew Brown,"Jul 06, 1939","Jul 06, 1939","Jan 06, 1940",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/stars-in-your-eyes-12428,Stars In Your Eyes,,Dorothy Fields,J. P. McEvoy,Dwight Deere Wiman,"Feb 09, 1939","Feb 09, 1939","May 27, 1939",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/great-lady-11220,Great Lady,,Earle CrookerandLowell Brentano,Earle CrookerandLowell Brentano,Dwight Deere WimanandJohn H. Del Bondio,"Dec 01, 1938","Dec 01, 1938","Dec 17, 1938",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/three-waltzes-12334,Three Waltzes,Hassard Short,,Clare KummerandRowland Leigh,Messrs. Shubert (Lee and J. J.),"Dec 25, 1937","Dec 25, 1937","Apr 09, 1938",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/babes-in-arms-12218,Babes in Arms,,Lorenz Hart,Richard RodgersandLorenz Hart,Dwight Deere Wiman,"Apr 14, 1937","Apr 14, 1937","Dec 18, 1937",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-cat-and-the-canary-12229,The Cat and the Canary,,,John Willard,Ben LundyandB. Franklin Kamsler,"Jun 14, 1937","Jun 14, 1937",Jun 1937,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-bat-12228,The Bat,,,Mary Roberts RinehartandAvery Hopwood,Ben LundyandB. F. Kamsler,"May 31, 1937","May 31, 1937",Jun 1937,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-masque-of-kings-12193,The Masque of Kings,Philip Moeller,,Maxwell Anderson,The Theatre Guild,"Feb 08, 1937","Feb 08, 1937","Apr 24, 1937",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/uday-shan-kar-and-his-hindu-ballet-520984,Uday Shan-Kar and his Hindu Ballet,,,,S. Hurok,"Jan 10, 1937","Jan 10, 1937","Feb 14, 1937",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/uday-shan-kar-and-his-hindu-ballet-520984,Uday Shan-Kar and his Hindu Ballet,,,,,,,,2025-06-26,Creative Team and Performance Data
